ISO 639-1 alpha-2,ISO 639-2 alpha-3,ISO 639 English name of language,ISO 639 French name of language
aa,aar,afar,afar
ab,abk,Abkhazian,abkhaze
,ace,Achinese,aceh
,ach,Acoli,acoli
,ada,Adangme,adangme
,ady,"Adyghe,Adygei",adyghé
,afa,Afro-Asiatic languages,"afro-asiatiques, langues"
,afh,Afrihili,afrihili
af,afr,Afrikaans,afrikaans
,ain,Ainu,aïnou
ak,aka,Akan,akan
,akk,Akkadian,akkadien
sq,alb (B),Albanian,albanais
sq,sqi (T),Albanian,albanais
,ale,Aleut,aléoute
,alg,Algonquian languages,"algonquines, langues"
,alt,Southern Altai,altai du Sud
am,amh,Amharic,amharique
,ang,"English, Old (ca. 450-1100)",anglo-saxon
,anp,Angika,angika
,apa,Apache languages,"apaches, langues"
ar,ara,Arabic,arabe
,arc,Official Aramaic (700-300 BCE)/Imperial Aramaic (700-300 BCE),araméen d'empire (700-300 BCE)
an,arg,Aragnese,aragonais
hy,arm (B),Armenian,arménien
hy,hye (T),Armenian,arménien
,arn,Mapudungun/Mapuche,mapudungun/mapuche/mapuce
,arp,Arapaho,arapaho
,art,Artificial languages,"artificielles, langues"
,arw,Arawak,arawak
as,asm,Assamese,assamais
,ast,Asturian/Bable/Leonese/Asturleonese,asturien/bable/léonais/asturoléonais
,ath,Athapascan languages,"athapascanes, langues"
,aus,Australian languages,"australiennes, langues"
av,ava,Avaric,avar
ae,ave,Avestan,avestique
,awa,Awadhi,awadhi
ay,aym,Aymara,aymara
az,aze,Azerbaijani,azéri
,bad,Banda Languages,"banda, langues"
,bai,Bamileke languages,"bamiléké, langues"
ba,bak,Bashkir,bachkir
,bal,Baluchi,baloutchi
bm,bam,Bambara,bambara
,ban,Balinese,balinais
eu,baq (B),Basque,basque
eu,eus (T),Basque,basque
,bas,Basa,basa
,bat,Baltic Languages,"baltes, langues"
,bej,Beja/ Bedawiyet,bedja
be,bel,Belarusian,biélorusse
,bem,Bemba,bemba
bn,ben,Bengali,bengali
,ber,Berber languages,"berbères, langues"
,bho,Bhojpuri,bhojpuri
bh,bih,Bihari languages, langues biharis
,bik,Bikol,bikol
,bin,Bini/Edo,bini/edo
bi,bis,Bislama,bichlamar
,bla,Siksika,blackfoot
,bnt,Bantu languages,"bantou, langues"
bo,tib (B),Tibetan,tibétain
bo,bod (T),Tibetan,tibétain
bs,bos,Bosian,bosniaque
,bra,Braj,braj
br,bre,Breton,breton
,btk,Batak languaes,"batak, langues"
,bua,Buriat,bouriate
,bug,Buginese,bugi
bg,bul,Bulgarian,bulgare
my,bur (B),Burmese,birman
my,mya (T),Burmese,birman
,byn,Blin/Bilin,blin/bilen
,cad,Caddo,caddo
,cai,Central American Indian languages,"amérindiennes de l'Amérique centrale, langues"
,car,Galibi Carib,karib/galibi/carib
ca,cat,Catalan/Valencian,catalan/valencien
,cau,Caucasian languages,"caucasiennes, langues"
,ceb,Cebuano,cebuano
,cel,Celtic languages,"celtiques, langues/celtes, langues"
cs,cze (B),Czech,tchèque
cs,ces (T),Czech,tchèque
ch,cha,Chamorro,chamorro
,chb,Chibcha,chibcha
ce,che,Chechen,tchétchène
,chg,Chagatai,djaghataï
zh,chi (B),Chinese,chinois
zh,zho (T),Chinese,chinois
,chk,Chuukese,chuuk
,chm,Mari,mari
,chn,Chinook jargon,"chinook, jargon"
,cho,Choctaw,choctaw
,chp,Chipewyan/ Dene Suline,chipewyan
,chr,Cherokee,chipewyan
cu,chu,Church Slavic/Old Slavonic/Church Slavonic/Old Bulgarian/Old Church Slavonic,slavon d'église/vieux slave/slavon liturgique/vieux bulgare
cv,chv,Chuvash,tchouvache
,chy,Cheyene,cheyene
,cmc,Chamic languages," chames, langues"
,cop,Coptic,copte
kw,cor,Cornish,cornique
co,cos,Corsican,corse
,cpe,"Creoles and pidgins, English based",créoles et pidgins basés sur l'anglais
cr,cre,Cree,cree
,crh,Crimean Tatar/Crimean Turkish,tatar de Crimé
,crp,Creoles and pidgins,créoles et pidgins
,csb,Kashubian,kachoube
,cus,Cushitic languages,"couchitiques, langues"
cy,wel (B),Welsh,gallois
cy,cym (T),Welsh,gallois
,dak,Dakota,dakota
da,dan,Danish,danois
,dar,Dargwa,dargwa
,day,Land Dayak languages,"dayak, langues"
,del,Delaware,delaware
,den,Slave (Athapascan),esclave (athapascan)
de, ger (B),German,allemand
de, deu (T),German,allemand
,dge,Dorib,dorib
,din,Dinka,dinka
dv,div,Divehi/Dhivehi/Maldivian,maldivien
,doi,Dogri,dogri
,dra,Dravidian languages,"dravidiennes, langues"
,dsb,Lower Sorbian,bas-sorabe
,dua,Duala,douala
,dum,"Dutch, Middle (ca.1050-1350)",néerlandais moyen (ca. 1050-1350)
nl, dut (B), Dutch/Flemish,néerlandais/flamand
nl, nld (B), Dutch/Flemish,néerlandais/flamand
,dyu,Dyula,dioula
dz,dzo,Dzongkha,dzonkha
